Field=Designator~String~Designator~80|Field=Quantity~Integer~Quantity~67|Field=Comment~String~Comment~72|Field=Description~String~Description~443|Field=Footprint~String~Footprint~113|Field=Manufacturer~String~Manufacturer~93|Field=Manufacturer Part Number~String~Manufacturer Part Number~160|Field=Supplier 1~String~Supplier 1~75|Field=Supplier Part Number 1~String~Supplier Part Number 1~142|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Sensorboard.PrjPcb|ReportField=ProjectFullPath~C:\Users\Daniel\Dropbox\Bachelorarbeit_Felsüberwachung\01_Hardware\Sensorboard\Sensorboard\Sensorboard.PrjPcb|ReportField=Title~Bill of Materials For Project [Sensorboard.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~47|ReportField=ReportTime~17:06:44|ReportField=ReportDate~11.05.2016|ReportField=ReportDateTime~11.05.2016 17:06:44|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Qellgasse 21|ReportField=Address2~2501 Biel/Bienne|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Daniel Frei|ReportField=CheckedBy~<UPN>|ReportField=CompanyName~Berner Fachhochschule|ReportField=ConfigurationParameters~|ReportField=CurrentDate~11.05.2016|ReportField=CurrentTime~17:02:25|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Daniel\Dropbox\Bachelorarbeit_Felsüberwachung\01_Hardware\Sensorboard\Sensorboard\Sensorboard.SchDoc|ReportField=DocumentName~Sensorboard.SchDoc|ReportField=DocumentNumber~<DOC NO>|ReportField=DrawnBy~freid2|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11.05.2016|ReportField=Organization~Technik und Informatik|ReportField=ProjectName~Sensorboard.PrjPcb|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Sensorboard|ReportField=DataSourceFileName~Sensorboard.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Daniel\Dropbox\Bachelorarbeit_Felsüberwachung\01_Hardware\Sensorboard\Sensorboard\Sensorboard.PrjPcb
C?|1|4.7uF|Capacitor|CAPC1608[0603]X80||||
C?|2|100uF|Capacitor|CAPC3225[1210]X120||||
C?|8|100nF|Capacitor|CAPC1005[0402]X50||||
R?|2|120|Resistor|RESC1005[0402]X35||||
R?|2|4k7|Resistor|RESC1005[0402]X35||||
R?|3|100k|Resistor|RESC1005[0402]X35||||
R?|4|0|Resistor|RESC1005[0402]X35||||
R?|4|390|Resistor|RESC1005[0402]X35||||
U?|1|FXLS8471Q|3-Axis,  Linear Accelerometer|HDR2X6_V_M|NXP|FXLS8471QR1|Digi-Key|FXLS8471QR1CT-ND
U?|1|PCA9615|2-channel multipoint Fast-mode Plus differential I2C-bus  buffer with hot-swap logic|TSSOP10|NXP|PCA9615DPJ|Digi-Key|568-11484-1-ND
U?|1|PCT2075TP|Temperature_Sensor|HWSON8|NXP|PCT2075TP,147|Digi-Key|568-10220-1-ND
X?|18|Loch|Loch in Print um Kabel einzulöten|Loch||||
